"Player","Team","TACKLE","ASSIST","SACK","PD","INT","FF","FR","TD","FPTS"
"Kyle Hamilton","BAL","5.9","2.0","0.1","0.3","0.1","0.1","0.1","0.0","12.3"
"Derwin James Jr.","LAC","5.2","2.6","0.2","0.4","0.1","0.1","0.1","0.0","12.2"
"Tykee Smith","TB","5.0","2.1","0.1","0.8","0.1","0.0","0.0","0.0","11.6"
"Chamarri Conner","KC","5.6","2.2","0.1","0.3","0.1","0.1","0.0","0.0","11.6"
"Nick Cross","WAS","5.4","2.5","0.1","0.3","0.1","0.1","0.0","0.0","11.4"
"Kam Curl","LAR","5.3","2.2","0.1","0.3","0.1","0.1","0.1","0.0","11.1"
"Budda Baker","ARI","5.2","2.8","0.0","0.3","0.1","0.0","0.0","0.0","11.1"
"Justin Reid","NO","5.4","2.0","0.0","0.5","0.1","0.0","0.0","0.0","11.0"
"Cooper DeJean","PHI","4.8","1.6","0.0","0.8","0.1","0.1","0.1","0.0","11.0"
"Nick Emmanwori","SEA","4.9","1.9","0.1","0.8","0.1","0.0","0.0","0.0","11.0"
"Xavier McKinney","GB","4.6","2.4","0.0","0.6","0.1","0.1","0.0","0.0","10.8"
"Jaquan Brisker","PIT","4.8","2.3","0.1","0.4","0.1","0.0","0.0","0.0","10.8"
"DeShon Elliott","PIT","4.9","2.3","0.0","0.4","0.1","0.1","0.1","0.0","10.8"
"Jalen Thompson","DAL","5.1","2.2","0.0","0.4","0.1","0.1","0.1","0.0","10.7"
"Talanoa Hufanga","DEN","4.8","2.0","0.0","0.6","0.1","0.1","0.0","0.0","10.6"
"Jeremy Chinn","LV","4.8","2.7","0.1","0.2","0.0","0.1","0.1","0.0","10.6"
"Jordan Battle","CIN","4.9","2.5","0.0","0.3","0.1","0.1","0.0","0.0","10.6"
"Dante Trader Jr.","MIA","5.4","2.0","0.1","0.2","0.1","0.0","0.0","0.0","10.5"
"Xavier Watts","ATL","4.6","2.2","0.0","0.6","0.1","0.0","0.0","0.0","10.5"
