"Player","Team","TACKLE","ASSIST","SACK","PD","INT","FF","FR","TD","FPTS"
"Aidan Hutchinson","DET","2.8","1.1","0.8","0.1","0.0","0.2","0.1","0.0","9.8"
"Jeffery Simmons","TEN","3.5","1.8","0.4","0.2","0.0","0.1","0.1","0.0","9.4"
"Andrew Van Ginkel","MIN","3.2","1.6","0.4","0.5","0.1","0.0","0.1","0.0","9.3"
"Maxx Crosby","LV","3.3","1.5","0.6","0.2","0.0","0.1","0.0","0.0","9.2"
"Brian Burns","NYG","2.9","1.5","0.5","0.3","0.0","0.1","0.1","0.0","8.9"
"Myles Garrett","LAR","2.7","0.9","0.7","0.0","0.0","0.2","0.1","0.0","8.7"
"T.J. Watt","PIT","2.3","1.4","0.5","0.4","0.1","0.2","0.1","0.0","8.3"
"Byron Young","LAR","3.0","1.8","0.5","0.0","0.0","0.1","0.0","0.0","8.2"
"Dallas Turner","MIN","2.7","1.7","0.5","0.2","0.0","0.1","0.0","0.0","8.2"
"Tuli Tuipulotu","LAC","2.5","0.9","0.7","0.2","0.0","0.1","0.1","0.0","8.2"
"Carl Granderson","NO","3.3","1.4","0.3","0.3","0.0","0.0","0.0","0.0","8.1"
"Danielle Hunter","HOU","2.3","1.3","0.6","0.1","0.0","0.1","0.0","0.0","7.9"
"Will Anderson Jr.","HOU","2.3","1.1","0.6","0.1","0.0","0.2","0.1","0.0","7.7"
"Nick Bosa","SF","2.7","1.1","0.5","0.1","0.0","0.1","0.1","0.0","7.7"
"Jared Verse","CLE","2.6","1.3","0.4","0.1","0.0","0.1","0.1","0.0","7.6"
"Boye Mafe","CIN","2.6","1.1","0.5","0.3","0.0","0.1","0.0","0.0","7.5"
"Derrick Brown","CAR","3.3","2.1","0.2","0.2","0.0","0.0","0.0","0.0","7.5"
"Cameron Heyward","PIT","3.2","1.9","0.2","0.2","0.0","0.0","0.0","0.0","7.3"
"Austin Booker","CHI","2.4","1.3","0.4","0.5","0.0","0.1","0.0","0.0","7.2"
"Byron Murphy II","SEA","2.8","2.2","0.3","0.0","0.0","0.0","0.0","0.0","7.2"
"Montez Sweat","CHI","2.5","1.2","0.4","0.1","0.0","0.1","0.0","0.0","7.2"
"DeMarcus Lawrence","SEA","2.3","1.4","0.4","0.1","0.0","0.1","0.1","0.0","7.1"
"Trey Hendrickson","BAL","2.1","0.8","0.6","0.1","0.0","0.1","0.0","0.0","7.1"
"Abdul Carter","NYG","2.2","1.3","0.5","0.0","0.0","0.2","0.1","0.0","7.0"
"Quinnen Williams","DAL","2.6","1.5","0.3","0.0","0.0","0.1","0.0","0.0","7.0"
"Nik Bonitto","DEN","2.1","0.8","0.6","0.1","0.0","0.1","0.0","0.0","7.0"
"Jalen Redmond","MIN","2.8","1.6","0.2","0.2","0.0","0.1","0.1","0.0","7.0"
"Laiatu Latu","IND","2.2","1.0","0.4","0.2","0.0","0.1","0.1","0.0","7.0"
"Leonard Williams","SEA","2.8","1.6","0.3","0.1","0.0","0.0","0.0","0.0","6.9"
"Josh Hines-Allen","JAC","2.2","1.2","0.6","0.1","0.0","0.0","0.0","0.0","6.9"
"DeForest Buckner","IND","2.9","1.6","0.3","0.1","0.0","0.0","0.0","0.0","6.9"
"Nathan Shepherd","NO","3.1","1.6","0.2","0.1","0.0","0.1","0.0","0.0","6.9"
"Jonathan Greenard","PHI","2.3","1.1","0.5","0.2","0.0","0.1","0.0","0.0","6.9"
"Harold Landry III","NE","2.4","1.3","0.5","0.1","0.0","0.0","0.0","0.0","6.7"
"Yaya Diaby","TB","2.3","1.2","0.5","0.1","0.0","0.1","0.0","0.0","6.7"
"Bradley Chubb","BUF","2.0","1.3","0.5","0.1","0.0","0.1","0.1","0.0","6.7"
"Greg Rousseau","BUF","2.4","1.2","0.4","0.1","0.0","0.1","0.0","0.0","6.7"
"Travon Walker","JAC","2.3","1.4","0.4","0.1","0.0","0.1","0.0","0.0","6.6"
"Jalyx Hunt","PHI","2.1","1.2","0.4","0.2","0.0","0.1","0.1","0.0","6.6"
"Donovan Ezeiruaku","DAL","2.5","1.4","0.3","0.1","0.0","0.1","0.0","0.0","6.6"
"Daron Payne","WAS","2.9","1.5","0.2","0.1","0.0","0.1","0.0","0.0","6.6"
"Brenton Cox Jr.","GB","2.3","1.0","0.4","0.1","0.0","0.1","0.1","0.0","6.6"
"Jalen Carter","PHI","2.4","1.3","0.3","0.2","0.0","0.1","0.0","0.0","6.6"
"Jaelan Phillips","CAR","2.2","1.3","0.4","0.2","0.0","0.1","0.0","0.0","6.5"
"Jonathan Allen","CIN","2.9","1.6","0.2","0.0","0.0","0.0","0.0","0.0","6.5"
"Chase Young","NO","2.1","0.9","0.5","0.1","0.0","0.1","0.0","0.0","6.5"
"Kobie Turner","LAR","2.4","1.4","0.4","0.1","0.0","0.0","0.0","0.0","6.5"
"Alex Highsmith","PIT","2.2","1.1","0.4","0.2","0.0","0.1","0.0","0.0","6.3"
"Jordan Davis","PHI","2.8","1.6","0.2","0.1","0.0","0.0","0.0","0.0","6.3"
"Odafe Oweh","WAS","1.8","1.0","0.6","0.0","0.0","0.1","0.0","0.0","6.2"
"Jahlani Tavai","JAC","3.0","1.3","0.1","0.1","0.0","0.0","0.0","0.0","6.2"
"Zach Sieler","MIA","2.3","1.2","0.3","0.2","0.0","0.0","0.0","0.0","6.1"
"Dexter Lawrence II","CIN","2.5","1.4","0.3","0.1","0.0","0.0","0.0","0.0","6.0"
"Adam Butler","LV","2.5","1.6","0.2","0.1","0.0","0.0","0.0","0.0","6.0"
"George Karlaftis III","KC","2.2","1.0","0.4","0.1","0.0","0.0","0.0","0.0","6.0"
"Rueben Bain Jr.","TB","2.1","1.1","0.4","0.2","0.0","0.1","0.0","0.0","6.0"
"Milton Williams","NE","2.2","1.3","0.3","0.1","0.0","0.0","0.0","0.0","6.0"
"Derick Hall","SEA","2.2","0.9","0.3","0.1","0.0","0.1","0.0","0.0","6.0"
"Jonathon Cooper","DEN","2.0","1.3","0.4","0.1","0.0","0.0","0.0","0.0","6.0"
"Davon Godchaux","NO","2.9","1.5","0.1","0.0","0.0","0.0","0.0","0.0","5.9"
"DJ Wonnum","DET","2.1","1.5","0.3","0.2","0.0","0.0","0.1","0.0","5.9"
"Jadeveon Clowney","HOU","2.2","0.9","0.4","0.0","0.0","0.1","0.0","0.0","5.9"
"Zach Allen","DEN","2.1","1.3","0.4","0.2","0.0","0.0","0.0","0.0","5.9"
"Thomas Booker IV","LV","2.7","1.4","0.1","0.1","0.0","0.0","0.0","0.0","5.9"
"A'Shawn Robinson","TB","2.6","1.5","0.1","0.1","0.0","0.0","0.0","0.0","5.8"
"Rashan Gary","DAL","1.9","1.1","0.4","0.1","0.0","0.1","0.1","0.0","5.8"
"Travis Jones","BAL","2.2","1.3","0.2","0.2","0.0","0.1","0.1","0.0","5.7"
"Za'Darius Smith","ATL","2.1","0.9","0.4","0.0","0.0","0.0","0.0","0.0","5.7"
"Nick Herbig","PIT","1.5","0.7","0.5","0.1","0.0","0.2","0.1","0.0","5.7"
"Levi Drake Rodriguez","MIN","2.7","1.4","0.1","0.0","0.0","0.0","0.0","0.0","5.7"
"Ed Oliver","BUF","2.1","1.1","0.3","0.0","0.0","0.1","0.0","0.0","5.7"
"Gervon Dexter Sr.","CHI","2.2","1.4","0.3","0.1","0.0","0.0","0.0","0.0","5.7"
"Tommy Togiai","HOU","2.5","1.5","0.1","0.1","0.0","0.0","0.1","0.0","5.6"
"David Bailey","NYJ","1.7","1.0","0.4","0.1","0.0","0.1","0.1","0.0","5.6"
"Josh Sweat","ARI","1.4","0.7","0.5","0.0","0.0","0.2","0.1","0.0","5.6"
"Dayo Odeyingbo","CHI","1.9","0.9","0.3","0.0","0.0","0.1","0.1","0.0","5.6"
"Devonte Wyatt","GB","2.1","1.1","0.3","0.1","0.0","0.0","0.0","0.0","5.6"
"Dre'Mont Jones","NE","1.9","1.0","0.4","0.1","0.0","0.0","0.0","0.0","5.5"
"Lukas Van Ness","GB","2.1","1.0","0.3","0.0","0.0","0.0","0.0","0.0","5.5"
"Zach Harrison","ATL","2.0","1.3","0.3","0.1","0.0","0.1","0.0","0.0","5.5"
"Charles Omenihu","WAS","2.0","1.1","0.2","0.3","0.0","0.0","0.0","0.0","5.4"
"Keeanu Benton","PIT","2.1","1.2","0.2","0.1","0.0","0.1","0.0","0.0","5.4"
"Khalil Mack","LAC","1.5","0.8","0.3","0.2","0.0","0.1","0.0","0.0","5.4"
"Mason Graham","CLE","2.4","1.3","0.1","0.2","0.0","0.0","0.0","0.0","5.4"
"Uchenna Nwosu","SEA","1.6","1.0","0.5","0.1","0.0","0.0","0.0","0.0","5.4"
"Harrison Phillips","NYJ","2.4","1.4","0.1","0.1","0.0","0.0","0.0","0.0","5.4"
"LaCale London","ATL","2.2","1.2","0.2","0.0","0.0","0.0","0.0","0.0","5.3"
"Christen Miller","NO","2.4","1.2","0.1","0.1","0.0","0.0","0.0","0.0","5.2"
"Ashton Gillotte","KC","2.3","1.0","0.1","0.1","0.0","0.0","0.0","0.0","5.2"
"Grover Stewart","IND","2.2","1.4","0.1","0.1","0.0","0.0","0.0","0.0","5.2"
"Dennis Gardeck","JAC","2.0","0.8","0.2","0.3","0.0","0.1","0.0","0.0","5.2"
"Nolan Smith Jr.","PHI","1.7","1.0","0.3","0.1","0.0","0.1","0.1","0.0","5.2"
"C.J. West","SF","2.4","1.2","0.1","0.0","0.0","0.0","0.0","0.0","5.2"
"Jonah Laulu","LV","2.2","1.3","0.2","0.2","0.0","0.0","0.0","0.0","5.1"
"Derrick Harmon","PIT","1.9","1.1","0.3","0.1","0.0","0.0","0.0","0.0","5.1"
"Javon Hargrave","GB","2.1","1.3","0.2","0.0","0.0","0.0","0.1","0.0","5.1"
"Chris Jones","KC","1.6","0.9","0.4","0.1","0.0","0.0","0.0","0.0","5.1"
"Jarran Reed","SEA","1.9","1.2","0.2","0.1","0.0","0.0","0.0","0.0","5.0"
"Bralen Trice","ATL","1.9","0.8","0.3","0.1","0.0","0.1","0.0","0.0","5.0"
"B.J. Hill","CIN","2.2","1.4","0.1","0.0","0.0","0.0","0.0","0.0","5.0"
"Calais Campbell","BAL","2.1","1.1","0.3","0.0","0.0","0.0","0.0","0.0","5.0"
"Jermaine Johnson II","TEN","1.9","1.2","0.3","0.1","0.0","0.0","0.0","0.0","5.0"
"Cameron Thomas","ATL","2.2","0.9","0.2","0.0","0.0","0.0","0.0","0.0","5.0"
"Osa Odighizuwa","SF","2.1","1.0","0.2","0.0","0.0","0.0","0.0","0.0","4.9"
"T'Vondre Sweat","NYJ","2.1","1.3","0.1","0.1","0.0","0.0","0.0","0.0","4.9"
"Akheem Mesidor","LAC","1.4","0.8","0.4","0.1","0.0","0.1","0.1","0.0","4.9"
"Will McDonald IV","NYJ","1.4","0.7","0.5","0.1","0.0","0.0","0.0","0.0","4.8"
"Baron Browning","ARI","1.8","0.8","0.2","0.2","0.0","0.0","0.0","0.0","4.8"
"Javon Kinlaw","WAS","2.2","1.1","0.1","0.0","0.0","0.0","0.0","0.0","4.8"
"K'Lavon Chaisson","WAS","1.4","0.7","0.3","0.1","0.0","0.1","0.1","0.0","4.7"
"Deone Walker","BUF","2.0","1.1","0.1","0.1","0.0","0.0","0.0","0.0","4.7"
"Grady Jarrett","CHI","1.9","1.2","0.1","0.0","0.0","0.1","0.0","0.0","4.7"
"Maliek Collins","CLE","1.8","0.9","0.3","0.0","0.0","0.0","0.0","0.0","4.7"
"Walter Nolen III","ARI","1.7","0.9","0.2","0.1","0.0","0.0","0.0","0.0","4.7"
"Moro Ojomo","PHI","1.7","1.0","0.3","0.0","0.0","0.0","0.0","0.0","4.6"
"Vita Vea","TB","1.7","1.0","0.3","0.1","0.0","0.0","0.0","0.0","4.6"
