"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Jacksonville Jaguars","","2.9","0.8","0.5","0.8","0.2","0.0","16.8","308.4","7.7"
"Los Angeles Chargers","","3.0","0.8","0.6","0.4","0.2","0.0","18.6","323.3","7.6"
"Detroit Lions","","2.8","0.8","0.6","0.8","0.2","0.0","20.0","335.5","7.4"
"Tennessee Titans","","3.0","0.8","0.5","0.7","0.1","0.0","19.5","333.5","7.4"
"Pittsburgh Steelers","","2.6","0.9","0.6","0.8","0.1","0.0","19.2","342.4","7.3"
"Las Vegas Raiders","","2.8","0.6","0.5","0.7","0.1","0.0","18.1","344.3","6.7"
"Seattle Seahawks","","2.9","0.8","0.5","0.7","0.2","0.0","20.0","353.5","6.7"
"New York Jets","","2.6","0.6","0.5","0.7","0.1","0.0","19.9","325.4","6.4"
"Denver Broncos","","2.8","0.8","0.4","0.7","0.2","0.0","22.1","344.7","6.3"
"Philadelphia Eagles","","2.6","0.7","0.5","0.7","0.2","0.0","21.0","334.5","6.3"
"Los Angeles Rams","","2.4","0.8","0.5","0.8","0.2","0.0","22.8","352.2","6.2"
"Houston Texans","","2.4","0.8","0.5","0.9","0.2","0.0","22.9","358.9","6.1"
"Baltimore Ravens","","2.5","0.8","0.5","0.8","0.2","0.0","22.0","333.8","6.1"
"Green Bay Packers","","2.4","0.7","0.4","0.7","0.2","0.0","22.0","337.9","5.7"
"Kansas City Chiefs","","2.2","0.7","0.5","0.7","0.2","0.0","20.2","339.4","5.7"
"Chicago Bears","","2.2","0.7","0.6","0.8","0.1","0.0","21.9","323.6","5.5"
"Dallas Cowboys","","2.5","0.7","0.5","0.6","0.1","0.0","23.2","344.9","5.4"
"New England Patriots","","2.3","0.7","0.5","0.7","0.1","0.0","23.6","344.3","5.4"
"Minnesota Vikings","","2.3","0.7","0.5","0.8","0.1","0.0","21.8","349.9","5.3"
"Miami Dolphins","","2.6","0.6","0.4","0.6","0.1","0.0","22.3","332.6","5.3"
"Buffalo Bills","","2.3","0.7","0.4","0.7","0.1","0.0","22.2","350.4","5.3"
"Cincinnati Bengals","","2.3","0.7","0.4","0.6","0.1","0.0","23.5","353.4","5.2"
"Indianapolis Colts","","2.4","0.6","0.4","0.6","0.1","0.0","25.5","376.3","5.1"
"New York Giants","","2.1","0.7","0.5","0.6","0.1","0.0","26.0","374.8","5.1"
"Atlanta Falcons","","2.2","0.6","0.4","0.7","0.1","0.0","22.8","344.1","5.0"
"Cleveland Browns","","2.2","0.6","0.4","0.7","0.1","0.0","22.8","343.9","5.0"
"Tampa Bay Buccaneers","","2.3","0.6","0.4","0.5","0.1","0.0","26.5","351.3","4.9"
"San Francisco 49ers","","1.9","0.6","0.5","0.7","0.1","0.0","24.6","369.7","4.8"
"Washington Commanders","","2.2","0.5","0.5","0.7","0.1","0.0","25.8","351.9","4.8"
"Arizona Cardinals","","2.2","0.6","0.4","0.6","0.1","0.0","27.4","367.9","4.7"
"Carolina Panthers","","2.0","0.6","0.4","0.6","0.1","0.0","24.0","371.4","4.6"
"New Orleans Saints","","2.1","0.6","0.4","0.6","0.1","0.0","26.7","377.2","4.5"
""
""
