"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Jahmyr Gibbs","DET","RB1","16.8","83.2","0.9","3.9","29.5","0.2","0.1","19.4"
"Bijan Robinson","ATL","RB2","17.6","82.1","0.5","4.4","37.2","0.2","0.1","18.0"
"Christian McCaffrey","SF","RB3","15.8","63.7","0.5","4.7","36.9","0.3","0.1","17.0"
"Puka Nacua","LAR","WR1","0.7","4.4","0.0","7.2","93.6","0.5","0.0","16.7"
"Ja'Marr Chase","CIN","WR2","0.2","1.1","0.0","6.9","88.0","0.7","0.0","16.3"
"Jonathan Taylor","IND","RB4","17.7","81.8","0.7","3.0","22.3","0.1","0.1","16.2"
"Amon-Ra St. Brown","DET","WR3","0.2","1.0","0.0","6.9","84.6","0.6","0.0","15.7"
"Jaxon Smith-Njigba","SEA","WR4","0.4","1.8","0.0","6.7","91.6","0.5","0.0","15.7"
"De'Von Achane","MIA","RB5","14.6","76.5","0.4","3.6","26.3","0.2","0.1","15.6"
"Derrick Henry","BAL","RB6","17.4","83.6","0.7","1.2","10.6","0.1","0.1","14.6"
"Saquon Barkley","PHI","RB7","16.9","74.9","0.5","2.4","19.6","0.1","0.1","14.4"
"James Cook III","BUF","RB8","15.9","75.3","0.6","2.3","17.1","0.1","0.1","14.2"
"Chase Brown","CIN","RB9","14.0","59.4","0.4","3.9","25.4","0.2","0.1","14.2"
"Omarion Hampton","LAC","RB10","14.7","66.6","0.6","3.2","20.4","0.1","0.1","14.1"
"CeeDee Lamb","DAL","WR5","0.2","0.9","0.0","6.0","80.5","0.5","0.0","14.1"
"Justin Jefferson","MIN","WR6","0.1","0.6","0.0","6.2","81.6","0.4","0.0","13.7"
"Javonte Williams","DAL","RB11","16.0","72.7","0.6","2.2","12.3","0.1","0.1","13.6"
"Ashton Jeanty","LV","RB12","15.6","63.8","0.5","3.2","21.2","0.1","0.1","13.6"
"Nico Collins","HOU","WR7","0.1","0.9","0.0","5.3","78.0","0.5","0.0","13.4"
"Breece Hall","NYJ","RB13","15.4","67.8","0.4","2.6","21.3","0.1","0.1","13.2"
"Kenneth Walker III","KC","RB14","15.5","65.9","0.5","2.7","20.0","0.1","0.1","13.2"
"Drake London","ATL","WR8","0.0","0.1","0.0","5.6","74.2","0.4","0.0","12.8"
"Kyren Williams","LAR","RB15","13.9","63.8","0.6","2.0","12.9","0.1","0.1","12.7"
"Zay Flowers","BAL","WR9","0.4","2.3","0.0","5.3","74.0","0.4","0.0","12.5"
"George Pickens","DAL","WR10","0.0","0.2","0.0","4.8","73.2","0.5","0.0","12.5"
"Josh Jacobs","GB","RB16","14.6","59.1","0.6","2.1","15.7","0.1","0.1","12.4"
"Travis Etienne Jr.","NO","RB17","14.4","61.4","0.4","2.7","20.7","0.1","0.1","12.4"
"Chris Olave","NO","WR11","0.0","0.1","0.0","5.6","71.7","0.4","0.0","12.3"
"Cam Skattebo","NYG","RB18","12.8","55.4","0.5","2.6","20.3","0.1","0.1","12.3"
"Jeremiyah Love","ARI","RB19","12.3","54.0","0.3","3.3","24.4","0.1","0.1","12.2"
"A.J. Brown","NE","WR12","0.0","0.1","0.0","5.1","71.0","0.4","0.0","12.1"
"Brock Bowers","LV","TE1","0.2","0.8","0.0","6.1","62.9","0.5","0.0","12.1"
"DeVonta Smith","PHI","WR13","0.0","0.1","0.0","5.2","68.8","0.4","0.0","12.0"
"Tee Higgins","CIN","WR14","0.0","0.2","0.0","4.4","63.1","0.6","0.0","11.9"
"Tetairoa McMillan","CAR","WR15","0.0","0.2","0.0","4.7","70.1","0.4","0.0","11.7"
"David Montgomery","HOU","RB20","13.4","58.8","0.6","1.9","13.5","0.1","0.1","11.7"
"Rashee Rice","KC","WR16","0.4","2.3","0.0","5.3","60.9","0.4","0.0","11.6"
"Malik Nabers","NYG","WR17","0.2","0.8","0.0","4.9","62.3","0.5","0.0","11.5"
"Trey McBride","ARI","TE2","0.0","0.0","0.0","6.3","61.3","0.4","0.0","11.4"
"D'Andre Swift","CHI","RB21","12.5","58.4","0.4","1.9","14.8","0.1","0.1","11.3"
"Jaylen Warren","PIT","RB22","11.3","52.6","0.3","2.8","20.9","0.1","0.0","11.1"
"Jaylen Waddle","DEN","WR18","0.1","0.9","0.0","4.8","64.0","0.4","0.0","11.1"
"Bucky Irving","TB","RB23","13.2","55.3","0.4","2.2","17.7","0.1","0.1","11.0"
"Rico Dowdle","PIT","RB24","12.7","57.0","0.4","2.1","15.6","0.1","0.1","11.0"
"Quinshon Judkins","CLE","RB25","15.5","61.9","0.4","1.9","12.0","0.0","0.1","11.0"
"Ladd McConkey","LAC","WR19","0.1","0.3","0.0","4.6","61.4","0.4","0.0","11.0"
"Garrett Wilson","NYJ","WR20","0.1","0.6","0.0","5.1","62.6","0.4","0.0","11.0"
"Davante Adams","LAR","WR21","0.0","0.0","0.0","3.9","55.3","0.5","0.0","10.7"
"Jameson Williams","DET","WR22","0.5","2.6","0.0","3.8","61.2","0.4","0.0","10.5"
