"Player","Team","FG","FGA","XPT","FPTS"
"Cameron Dicker","LAC","1.9","2.3","2.9","8.7"
"Brandon Aubrey","DAL","1.9","2.4","2.7","8.3"
"Jake Bates","DET","1.7","2.1","3.0","8.2"
"Harrison Mevis","LAR","1.7","2.1","2.9","8.1"
"Jason Myers","SEA","1.8","2.3","2.6","8.0"
"Ka'imi Fairbairn","HOU","1.9","2.4","2.3","8.0"
"Cam Little","JAC","1.8","2.2","2.5","7.9"
"Tyler Loop","BAL","1.7","2.1","2.7","7.9"
"Evan McPherson","CIN","1.7","2.1","2.7","7.8"
"Chris Boswell","PIT","1.8","2.2","2.3","7.6"
"Eddy Pineiro","SF","1.7","2.1","2.3","7.5"
"Cairo Santos","CHI","1.7","2.1","2.4","7.5"
"Chase McLaughlin","TB","1.7","2.1","2.3","7.5"
"Will Reichard","MIN","1.8","2.1","2.2","7.5"
"Harrison Butker","KC","1.7","2.1","2.3","7.5"
"Jake Elliott","PHI","1.6","1.9","2.7","7.5"
"Trey Smack","GB","1.6","2.0","2.4","7.2"
"Tyler Bass","BUF","1.6","1.9","2.5","7.2"
"Blake Grupe","IND","1.6","2.1","2.2","7.2"
"Matt Gay","LV","1.6","2.0","2.2","7.1"
"Wil Lutz","DEN","1.6","2.0","2.2","7.0"
"Joey Slye","TEN","1.6","2.0","2.1","6.9"
"Charlie Smyth","NO","1.6","2.0","2.0","6.9"
"Ryan Fitzgerald","CAR","1.6","2.0","2.1","6.9"
"Nick Folk","ATL","1.6","1.9","1.9","6.8"
"Andy Borregales","NE","1.5","1.9","2.1","6.8"
"Jason Sanders","NYJ","1.6","1.9","1.9","6.7"
"Chad Ryland","ARI","1.5","1.9","1.7","6.2"
"Dominic Zvada","NYG","1.4","1.8","1.9","6.1"
"Andre Szmyt","CLE","1.4","1.8","1.6","5.8"
"Riley Patterson","MIA","1.2","1.5","1.3","5.0"
"Drew Stevens","WAS","1.0","1.2","1.1","4.2"
"Daniel Carlson","NO","0.6","0.0","0.7","2.5"
"Ben Sauls","NYG","0.5","0.3","0.7","2.2"
"Tanner Brown","NO","0.0","0.0","0.0","0.0"
"Spencer Shrader","IND","0.0","0.0","0.0","0.0"
""
""
