"Player","Team","TACKLE","ASSIST","SACK","PD","INT","FF","FR","TD","FPTS"
"Jack Campbell","DET","7.7","4.3","0.2","0.2","0.0","0.1","0.1","0.0","16.8"
"Foyesade Oluokun","JAC","6.7","3.8","0.1","0.5","0.1","0.1","0.1","0.0","14.8"
"Roquan Smith","BAL","7.1","3.7","0.1","0.2","0.1","0.0","0.0","0.0","14.7"
"Nick Bolton","KC","6.8","3.7","0.1","0.4","0.1","0.1","0.0","0.0","14.6"
"Nakobe Dean","LV","6.8","3.2","0.2","0.1","0.0","0.1","0.1","0.0","14.3"
"Fred Warner","SF","6.4","3.3","0.1","0.4","0.1","0.2","0.1","0.0","14.2"
"Kaden Elliss","NO","6.5","2.9","0.2","0.4","0.1","0.1","0.0","0.0","14.2"
"Carson Schwesinger","CLE","6.5","3.8","0.2","0.2","0.0","0.0","0.0","0.0","13.9"
"Zack Baun","PHI","6.2","3.4","0.2","0.3","0.1","0.1","0.1","0.0","13.8"
"Blake Cashman","MIN","6.8","3.3","0.1","0.2","0.0","0.0","0.1","0.0","13.8"
"Ernest Jones IV","SEA","6.3","3.5","0.1","0.4","0.1","0.1","0.0","0.0","13.5"
"Cedric Gray","TEN","6.5","3.3","0.1","0.2","0.0","0.0","0.0","0.0","13.2"
"Nate Landman","LAR","5.8","2.8","0.1","0.4","0.1","0.2","0.1","0.0","13.1"
"Alex Singleton","DEN","6.2","3.6","0.0","0.2","0.0","0.1","0.0","0.0","13.1"
"Quay Walker","LV","6.1","3.4","0.2","0.4","0.0","0.0","0.0","0.0","13.1"
"Devin Bush Jr.","CHI","5.8","3.2","0.1","0.4","0.1","0.1","0.1","0.0","12.9"
"Jamien Sherwood","NYJ","6.1","3.5","0.1","0.3","0.0","0.0","0.0","0.0","12.9"
"Sonny Styles","WAS","5.8","2.8","0.1","0.3","0.1","0.1","0.1","0.0","12.8"
"Robert Spillane","NE","5.7","3.1","0.1","0.4","0.1","0.0","0.0","0.0","12.7"
"Tremaine Edmunds","NYG","5.8","2.8","0.1","0.5","0.1","0.0","0.0","0.0","12.5"
"Daiyan Henley","LAC","5.9","3.0","0.1","0.3","0.1","0.0","0.0","0.0","12.5"
"Devin Lloyd","CAR","5.4","3.0","0.2","0.4","0.1","0.0","0.0","0.0","12.5"
"Edgerrin Cooper","GB","5.8","3.0","0.1","0.3","0.0","0.1","0.1","0.0","12.5"
"Barrett Carter","CIN","6.1","3.2","0.0","0.2","0.1","0.0","0.0","0.0","12.4"
"Jordyn Brooks","MIA","6.0","2.9","0.1","0.2","0.0","0.1","0.0","0.0","12.4"
"Demetrius Knight Jr.","CIN","5.3","2.6","0.2","0.4","0.1","0.1","0.1","0.0","12.2"
"Terrel Bernard","BUF","5.5","3.0","0.1","0.2","0.1","0.0","0.1","0.0","12.0"
"Patrick Queen","PIT","5.4","3.1","0.1","0.2","0.1","0.1","0.0","0.0","11.7"
"Drue Tranquill","KC","5.5","2.9","0.2","0.1","0.0","0.1","0.1","0.0","11.7"
"Jihaad Campbell","PHI","5.2","2.8","0.1","0.3","0.1","0.1","0.1","0.0","11.6"
"Demario Davis","NYJ","5.5","3.2","0.1","0.1","0.0","0.0","0.1","0.0","11.6"
"Ventrell Miller","JAC","5.2","3.1","0.0","0.3","0.1","0.1","0.0","0.0","11.5"
"Zaire Franklin","GB","5.1","2.9","0.2","0.3","0.1","0.1","0.0","0.0","11.4"
"Alex Anzalone","TB","5.2","2.8","0.1","0.4","0.1","0.0","0.0","0.0","11.4"
"Azeez Al-Shaair","HOU","5.2","2.8","0.1","0.4","0.0","0.1","0.1","0.0","11.4"
"Quincy Williams","CLE","5.2","2.2","0.1","0.4","0.0","0.0","0.0","0.0","10.9"
"Arvell Reese","NYG","4.9","2.5","0.2","0.2","0.0","0.1","0.1","0.0","10.9"
"Akeem Davis-Gaither","IND","5.0","2.8","0.0","0.3","0.0","0.1","0.0","0.0","10.7"
"T.J. Edwards","CHI","4.7","2.5","0.1","0.4","0.1","0.1","0.0","0.0","10.6"
"Mack Wilson Sr.","ARI","4.4","2.1","0.1","0.5","0.1","0.1","0.0","0.0","10.3"
"Eric Wilson","MIN","4.8","2.7","0.1","0.0","0.0","0.1","0.0","0.0","10.2"
"Henry To'oTo'o","HOU","4.5","2.5","0.1","0.3","0.1","0.0","0.0","0.0","9.9"
"Divine Deablo","ATL","4.3","2.3","0.1","0.5","0.1","0.0","0.0","0.0","9.9"
"Drake Thomas","SEA","4.2","2.4","0.1","0.4","0.1","0.0","0.0","0.0","9.6"
"Dee Winters","DAL","4.7","1.9","0.1","0.2","0.1","0.0","0.0","0.0","9.5"
"CJ Allen","IND","4.6","2.4","0.0","0.1","0.0","0.0","0.0","0.0","9.3"
"Andrew Van Ginkel","MIN","3.2","1.6","0.4","0.5","0.1","0.0","0.1","0.0","9.3"
"SirVocea Dennis","TB","4.5","2.0","0.1","0.2","0.0","0.0","0.0","0.0","9.3"
"Brian Burns","NYG","2.9","1.5","0.5","0.3","0.0","0.1","0.1","0.0","8.9"
"Trevin Wallace","CAR","3.9","1.9","0.1","0.3","0.1","0.1","0.0","0.0","8.9"
"DeMarvion Overshown","DAL","4.1","2.1","0.1","0.2","0.0","0.0","0.1","0.0","8.9"
"Tyrel Dodson","MIA","4.2","1.5","0.1","0.2","0.0","0.0","0.0","0.0","8.8"
"Payton Wilson","PIT","4.1","2.1","0.1","0.1","0.0","0.0","0.0","0.0","8.6"
"T.J. Watt","PIT","2.3","1.4","0.5","0.4","0.1","0.2","0.1","0.0","8.3"
"Dorian Williams","BUF","4.1","2.0","0.0","0.1","0.0","0.0","0.0","0.0","8.3"
"Byron Young","LAR","3.0","1.8","0.5","0.0","0.0","0.1","0.0","0.0","8.2"
"Christian Harris","ATL","4.0","1.8","0.0","0.3","0.0","0.0","0.0","0.0","8.2"
"Dallas Turner","MIN","2.7","1.7","0.5","0.2","0.0","0.1","0.0","0.0","8.2"
"Tuli Tuipulotu","LAC","2.5","0.9","0.7","0.2","0.0","0.1","0.1","0.0","8.2"
"Carl Granderson","NO","3.3","1.4","0.3","0.3","0.0","0.0","0.0","0.0","8.1"
"Cody Barton","TEN","3.5","1.9","0.1","0.4","0.1","0.0","0.0","0.0","7.9"
"Danielle Hunter","HOU","2.3","1.3","0.6","0.1","0.0","0.1","0.0","0.0","7.9"
"Dre Greenlaw","SF","3.7","1.9","0.1","0.2","0.0","0.1","0.0","0.0","7.9"
"Frankie Luvu","WAS","3.4","1.7","0.2","0.2","0.0","0.1","0.0","0.0","7.9"
"Derrick Barnes","DET","3.5","2.1","0.2","0.1","0.0","0.0","0.0","0.0","7.9"
"Omar Speights","LAR","3.9","2.1","0.0","0.1","0.0","0.0","0.0","0.0","7.7"
"Jared Verse","CLE","2.6","1.3","0.4","0.1","0.0","0.1","0.1","0.0","7.6"
"Christian Elliss","NE","3.4","2.1","0.1","0.2","0.0","0.1","0.0","0.0","7.6"
"Boye Mafe","CIN","2.6","1.1","0.5","0.3","0.0","0.1","0.0","0.0","7.5"
"Danny Stutsman","NO","3.8","1.7","0.0","0.1","0.0","0.0","0.0","0.0","7.5"
"Pete Werner","NO","3.6","1.6","0.1","0.2","0.0","0.0","0.0","0.0","7.3"
"Austin Booker","CHI","2.4","1.3","0.4","0.5","0.0","0.1","0.0","0.0","7.2"
"Teddye Buchanan","BAL","3.6","1.8","0.0","0.1","0.0","0.0","0.0","0.0","7.2"
"DeMarcus Lawrence","SEA","2.3","1.4","0.4","0.1","0.0","0.1","0.1","0.0","7.1"
"Trey Hendrickson","BAL","2.1","0.8","0.6","0.1","0.0","0.1","0.0","0.0","7.1"
"Owen Pappoe","ARI","3.4","1.5","0.0","0.2","0.0","0.0","0.0","0.0","7.0"
"Abdul Carter","NYG","2.2","1.3","0.5","0.0","0.0","0.2","0.1","0.0","7.0"
"Nik Bonitto","DEN","2.1","0.8","0.6","0.1","0.0","0.1","0.0","0.0","7.0"
"Josh Hines-Allen","JAC","2.2","1.2","0.6","0.1","0.0","0.0","0.0","0.0","6.9"
"Jonathan Greenard","PHI","2.3","1.1","0.5","0.2","0.0","0.1","0.0","0.0","6.9"
"Zayne Anderson","MIA","3.2","1.2","0.0","0.3","0.1","0.0","0.0","0.0","6.8"
"Austin Ajiake","IND","3.3","1.5","0.1","0.1","0.0","0.0","0.0","0.0","6.8"
"Harold Landry III","NE","2.4","1.3","0.5","0.1","0.0","0.0","0.0","0.0","6.7"
"Yaya Diaby","TB","2.3","1.2","0.5","0.1","0.0","0.1","0.0","0.0","6.7"
"Justin Strnad","DEN","2.9","1.8","0.1","0.2","0.0","0.0","0.0","0.0","6.7"
"Bradley Chubb","BUF","2.0","1.3","0.5","0.1","0.0","0.1","0.1","0.0","6.7"
"Greg Rousseau","BUF","2.4","1.2","0.4","0.1","0.0","0.1","0.0","0.0","6.7"
"Travon Walker","JAC","2.3","1.4","0.4","0.1","0.0","0.1","0.0","0.0","6.6"
"Jalyx Hunt","PHI","2.1","1.2","0.4","0.2","0.0","0.1","0.1","0.0","6.6"
"Donovan Ezeiruaku","DAL","2.5","1.4","0.3","0.1","0.0","0.1","0.0","0.0","6.6"
"Brenton Cox Jr.","GB","2.3","1.0","0.4","0.1","0.0","0.1","0.1","0.0","6.6"
"Jaelan Phillips","CAR","2.2","1.3","0.4","0.2","0.0","0.1","0.0","0.0","6.5"
"Denzel Perryman","LAC","3.3","1.5","0.0","0.2","0.0","0.0","0.0","0.0","6.5"
"K.J. Britt","NE","3.3","1.5","0.0","0.1","0.0","0.0","0.0","0.0","6.4"
"Cody Simon","ARI","3.0","1.5","0.1","0.1","0.0","0.1","0.0","0.0","6.4"
"Alex Highsmith","PIT","2.2","1.1","0.4","0.2","0.0","0.1","0.0","0.0","6.3"
"Jacob Rodriguez","MIA","2.8","1.1","0.1","0.1","0.0","0.0","0.1","0.0","6.2"
"Odafe Oweh","WAS","1.8","1.0","0.6","0.0","0.0","0.1","0.0","0.0","6.2"
