"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Jalen Hurts","PHI","28.8","19.1","227.9","1.6","0.6","6.7","27.9","0.6","0.2","20.6"
"Josh Allen","BUF","31.0","20.1","228.3","1.5","0.7","6.2","29.2","0.5","0.2","19.9"
"Lamar Jackson","BAL","28.1","18.5","231.1","1.6","0.6","7.4","38.4","0.2","0.2","19.9"
"Joe Burrow","CIN","35.3","23.8","263.4","2.1","0.7","2.7","9.3","0.1","0.2","19.5"
"Jaxson Dart","NYG","31.3","20.0","226.4","1.5","0.7","5.8","30.5","0.4","0.2","19.4"
"Justin Herbert","LAC","30.8","20.5","242.5","1.8","0.7","4.6","22.1","0.2","0.2","18.8"
"Dak Prescott","DAL","34.4","22.8","259.3","1.9","0.7","2.7","10.0","0.1","0.2","18.3"
"Caleb Williams","CHI","33.1","20.1","238.2","1.7","0.6","4.2","21.4","0.1","0.2","18.1"
"Jayden Daniels","WAS","32.2","20.6","217.1","1.3","0.6","7.4","36.6","0.2","0.2","18.0"
"Drake Maye","NE","32.1","21.3","239.2","1.5","0.7","5.1","24.9","0.2","0.2","17.6"
"Matthew Stafford","LAR","32.9","21.0","250.3","2.0","0.6","1.4","2.3","0.0","0.2","17.3"
"Trevor Lawrence","JAC","32.0","19.8","224.1","1.5","0.7","4.3","18.3","0.3","0.2","17.2"
"Brock Purdy","SF","32.2","20.9","246.2","1.5","0.8","3.8","14.5","0.2","0.2","17.2"
"Jared Goff","DET","33.3","22.2","258.8","1.8","0.6","1.6","3.3","0.0","0.2","17.1"
"Bo Nix","DEN","34.9","22.2","230.8","1.5","0.7","4.4","18.2","0.2","0.2","17.0"
"Baker Mayfield","TB","32.0","20.8","231.5","1.6","0.8","3.2","16.8","0.1","0.2","16.8"
"Kyler Murray","MIN","32.4","21.5","221.1","1.3","0.7","4.8","26.4","0.2","0.2","16.7"
"Jordan Love","GB","32.4","20.9","242.0","1.6","0.7","3.0","11.4","0.1","0.2","16.5"
"Malik Willis","MIA","27.9","18.6","201.6","1.0","0.6","6.8","33.9","0.3","0.2","16.4"
"Patrick Mahomes II","KC","33.1","21.0","232.0","1.5","0.7","2.9","15.5","0.1","0.2","16.4"
"Tyler Shough","NO","34.0","21.9","234.4","1.3","0.7","4.2","16.7","0.2","0.2","16.4"
"C.J. Stroud","HOU","32.8","21.1","237.7","1.5","0.7","3.0","12.9","0.1","0.2","16.3"
"Daniel Jones","IND","32.7","20.9","234.1","1.3","0.7","3.5","14.7","0.2","0.2","16.2"
