"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Jahmyr Gibbs","DET","16.8","83.2","0.9","3.9","29.5","0.2","0.1","19.4"
"Bijan Robinson","ATL","17.6","82.1","0.5","4.4","37.2","0.2","0.1","18.0"
"Christian McCaffrey","SF","15.8","63.7","0.5","4.7","36.9","0.3","0.1","17.0"
"Jonathan Taylor","IND","17.7","81.8","0.7","3.0","22.3","0.1","0.1","16.2"
"De'Von Achane","MIA","14.6","76.5","0.4","3.6","26.3","0.2","0.1","15.6"
"Derrick Henry","BAL","17.4","83.6","0.7","1.2","10.6","0.1","0.1","14.6"
"Saquon Barkley","PHI","16.9","74.9","0.5","2.4","19.6","0.1","0.1","14.4"
"James Cook III","BUF","15.9","75.3","0.6","2.3","17.1","0.1","0.1","14.2"
"Chase Brown","CIN","14.0","59.4","0.4","3.9","25.4","0.2","0.1","14.2"
"Omarion Hampton","LAC","14.7","66.6","0.6","3.2","20.4","0.1","0.1","14.1"
"Javonte Williams","DAL","16.0","72.7","0.6","2.2","12.3","0.1","0.1","13.6"
"Ashton Jeanty","LV","15.6","63.8","0.5","3.2","21.2","0.1","0.1","13.6"
"Breece Hall","NYJ","15.4","67.8","0.4","2.6","21.3","0.1","0.1","13.2"
"Kenneth Walker III","KC","15.5","65.9","0.5","2.7","20.0","0.1","0.1","13.2"
"Kyren Williams","LAR","13.9","63.8","0.6","2.0","12.9","0.1","0.1","12.7"
"Josh Jacobs","GB","14.6","59.1","0.6","2.1","15.7","0.1","0.1","12.4"
"Travis Etienne Jr.","NO","14.4","61.4","0.4","2.7","20.7","0.1","0.1","12.4"
"Cam Skattebo","NYG","12.8","55.4","0.5","2.6","20.3","0.1","0.1","12.3"
"Jeremiyah Love","ARI","12.3","54.0","0.3","3.3","24.4","0.1","0.1","12.2"
"David Montgomery","HOU","13.4","58.8","0.6","1.9","13.5","0.1","0.1","11.7"
"D'Andre Swift","CHI","12.5","58.4","0.4","1.9","14.8","0.1","0.1","11.3"
"Jaylen Warren","PIT","11.3","52.6","0.3","2.8","20.9","0.1","0.0","11.1"
"Bucky Irving","TB","13.2","55.3","0.4","2.2","17.7","0.1","0.1","11.0"
"Rico Dowdle","PIT","12.7","57.0","0.4","2.1","15.6","0.1","0.1","11.0"
"Quinshon Judkins","CLE","15.5","61.9","0.4","1.9","12.0","0.0","0.1","11.0"
"Bhayshul Tuten","JAC","12.7","51.2","0.4","1.8","13.0","0.1","0.1","10.4"
"Jadarian Price","SEA","13.1","54.8","0.5","1.3","10.4","0.1","0.0","10.3"
"Chuba Hubbard","CAR","11.5","47.7","0.3","2.1","14.4","0.1","0.1","9.6"
"Tony Pollard","TEN","12.2","53.8","0.3","1.7","11.0","0.1","0.1","9.5"
"Rhamondre Stevenson","NE","10.4","43.4","0.3","2.1","15.5","0.1","0.1","9.4"
"TreVeyon Henderson","NE","9.3","41.1","0.3","2.1","12.8","0.1","0.0","8.8"
"Kyle Monangai","CHI","9.7","44.4","0.3","1.3","10.9","0.1","0.0","8.6"
"Kenny Gainwell","TB","6.7","30.3","0.3","2.8","18.8","0.1","0.0","8.6"
"Blake Corum","LAR","10.4","48.4","0.4","0.9","5.5","0.1","0.0","8.5"
"Jonathon Brooks","CAR","9.3","40.1","0.3","1.8","13.0","0.1","0.0","8.3"
