"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Brock Bowers","LV","6.1","62.9","0.5","0.0","12.1"
"Trey McBride","ARI","6.3","61.3","0.4","0.0","11.4"
"Colston Loveland","CHI","4.7","56.0","0.4","0.0","10.4"
"Tyler Warren","IND","4.9","52.5","0.4","0.0","10.0"
"Sam LaPorta","DET","4.4","46.8","0.3","0.0","8.9"
"Harold Fannin Jr.","CLE","4.6","46.4","0.3","0.0","8.7"
"Tucker Kraft","GB","3.9","47.3","0.3","0.0","8.6"
"Kyle Pitts Sr.","ATL","4.4","48.7","0.2","0.0","8.5"
"Mark Andrews","BAL","3.7","38.9","0.4","0.0","8.4"
"Dallas Goedert","PHI","3.8","40.2","0.4","0.0","8.2"
"Travis Kelce","KC","4.2","43.8","0.3","0.0","8.1"
"Isaiah Likely","NYG","3.8","40.2","0.3","0.0","7.5"
"Jake Ferguson","DAL","4.2","34.6","0.3","0.0","7.4"
"Juwan Johnson","NO","3.9","40.5","0.2","0.0","7.1"
"Hunter Henry","NE","3.4","36.9","0.3","0.0","7.0"
"Dalton Kincaid","BUF","3.4","38.9","0.2","0.0","7.0"
"Dalton Schultz","HOU","3.6","35.8","0.2","0.0","6.7"
"T.J. Hockenson","MIN","4.0","34.5","0.2","0.0","6.5"
"Brenton Strange","JAC","3.2","34.3","0.2","0.0","6.3"
"AJ Barner","SEA","3.1","29.1","0.2","0.0","6.1"
"Chig Okonkwo","WAS","3.3","33.5","0.2","0.0","6.0"
"Pat Freiermuth","PIT","3.1","32.1","0.2","0.0","6.0"
"Darren Waller","CAR","2.6","29.2","0.3","0.0","5.7"
"Greg Dulcich","MIA","2.8","32.8","0.2","0.0","5.6"
"Gunnar Helm","TEN","3.0","27.3","0.2","0.0","5.5"
"Cade Otton","TB","2.9","29.0","0.2","0.0","5.4"
"George Kittle","SF","2.4","27.6","0.2","0.0","5.3"
"Kenyon Sadiq","NYJ","2.6","26.9","0.2","0.0","4.9"
"Terrance Ferguson","LAR","2.0","24.5","0.2","0.0","4.7"
"Mike Gesicki","CIN","2.3","22.7","0.2","0.0","4.6"
"David Njoku","LAC","1.9","19.7","0.2","0.0","4.1"
"Colby Parkinson","LAR","1.9","18.9","0.2","0.0","4.0"
"Oronde Gadsden II","LAC","1.7","21.0","0.1","0.0","3.7"
"Evan Engram","DEN","2.3","20.4","0.1","0.0","3.7"
"Mason Taylor","NYJ","2.1","19.3","0.1","0.0","3.6"
"Darnell Washington","PIT","1.8","19.0","0.1","0.0","3.5"
"Michael Mayer","LV","2.0","19.4","0.1","0.0","3.5"
"Jake Tonges","SF","1.8","17.8","0.1","0.0","3.4"
"Dawson Knox","BUF","1.6","17.9","0.1","0.0","3.4"
"Cole Kmet","CHI","1.6","16.0","0.1","0.0","3.0"
"Theo Johnson","NYG","1.5","16.7","0.1","0.0","3.0"
"Elijah Arroyo","SEA","1.4","16.4","0.1","0.0","3.0"
"Noah Gray","KC","1.6","15.6","0.1","0.0","2.9"
"Charlie Kolar","LAC","1.4","15.0","0.1","0.0","2.8"
"Daniel Bellinger","TEN","1.4","15.1","0.1","0.0","2.7"
"Erick All Jr.","CIN","1.4","13.7","0.1","0.0","2.7"
"Will Kacmarek","MIA","1.4","13.6","0.1","0.0","2.6"
"Elijah Higgins","ARI","1.3","11.7","0.1","0.0","2.2"
"Noah Fant","NO","1.2","10.8","0.1","0.0","2.1"
"Austin Hooper","ATL","1.1","11.0","0.1","0.0","2.1"
"Josh Oliver","MIN","1.0","9.9","0.1","0.0","2.0"
"Eli Stowers","PHI","0.9","9.9","0.1","0.0","2.0"
"Tommy Tremble","CAR","1.0","9.3","0.1","0.0","1.9"
"Tyler Higbee","LAR","0.9","9.6","0.1","0.0","1.9"
"Eli Raridon","NE","1.0","9.4","0.1","0.0","1.8"
"Luke Musgrave","GB","1.0","9.2","0.1","0.0","1.8"
"Drew Sample","CIN","0.9","8.1","0.1","0.0","1.7"
"Justin Joly","DEN","0.9","8.7","0.1","0.0","1.7"
"Adam Trautman","DEN","0.8","8.3","0.1","0.0","1.7"
"Ja'Tavion Sanders","CAR","1.0","8.0","0.1","0.0","1.7"
"John Bates","WAS","0.8","8.1","0.1","0.0","1.7"
"Brock Wright","DET","0.8","7.7","0.1","0.0","1.6"
"Oscar Delp","NO","0.9","8.2","0.1","0.0","1.6"
"Jackson Hawes","BUF","0.8","7.9","0.1","0.0","1.6"
"Marlin Klein","HOU","0.8","7.4","0.1","0.0","1.6"
"Cade Stover","HOU","0.8","7.0","0.0","0.0","1.4"
"Mo Alie-Cox","IND","0.6","6.4","0.1","0.0","1.3"
"Ben Sinnott","WAS","0.6","5.9","0.1","0.0","1.3"
"Joe Royer","CLE","0.7","7.0","0.0","0.0","1.2"
"Matt Hibner","BAL","0.7","7.1","0.0","0.0","1.2"
"Luke Schoonmaker","DAL","0.7","6.6","0.0","0.0","1.2"
"Tanner Hudson","CIN","0.6","5.0","0.1","0.0","1.1"
"Thomas Fidone II","NYG","0.7","6.6","0.0","0.0","1.0"
"Michael Trigg","DAL","0.5","5.7","0.0","0.0","1.0"
"Sam Roush","CHI","0.6","5.4","0.0","0.0","1.0"
"Max Klare","LAR","0.5","5.4","0.0","0.0","1.0"
"Nate Boerkircher","JAC","0.6","5.3","0.0","0.0","0.9"
"Durham Smythe","BAL","0.5","5.2","0.0","0.0","0.9"
"Jeremy Ruckert","NYJ","0.5","4.3","0.0","0.0","0.8"
"Brevyn Spann-Ford","DAL","0.5","4.6","0.0","0.0","0.8"
"Connor Heyward","LV","0.3","2.4","0.0","0.0","0.8"
"Davis Allen","LAR","0.4","4.0","0.0","0.0","0.8"
"Grant Calcaterra","PHI","0.4","4.4","0.0","0.0","0.8"
"Foster Moreau","HOU","0.4","4.1","0.0","0.0","0.7"
"Tanner Koziol","JAC","0.4","4.1","0.0","0.0","0.7"
"Ben Sims","MIA","0.4","3.9","0.0","0.0","0.7"
"Luke Farrell","SF","0.4","3.5","0.0","0.0","0.6"
"Nate Adkins","DEN","0.4","3.1","0.0","0.0","0.6"
"Tip Reiman","ARI","0.4","3.2","0.0","0.0","0.6"
"Mitchell Evans","CAR","0.3","3.3","0.0","0.0","0.6"
"Jack Endries","CIN","0.3","3.3","0.0","0.0","0.6"
"Payne Durham","TB","0.3","2.9","0.0","0.0","0.6"
"Seydou Traore","MIA","0.3","3.2","0.0","0.0","0.5"
"Josh Cuevas","BAL","0.3","2.9","0.0","0.0","0.5"
"Johnny Mundt","PHI","0.3","3.0","0.0","0.0","0.5"
"Charlie Woerner","ATL","0.3","2.6","0.0","0.0","0.5"
"Josh Whyle","GB","0.3","2.7","0.0","0.0","0.5"
"Drew Ogletree","IND","0.2","2.5","0.0","0.0","0.4"
"Eric Saubert","SEA","0.2","2.2","0.0","0.0","0.4"
"CJ Dippre","NE","0.2","2.1","0.0","0.0","0.4"
"Ian Thomas","LV","0.2","2.2","0.0","0.0","0.4"
"Riley Nowakowski","PIT","0.2","1.9","0.0","0.0","0.4"
"Jared Wiley","KC","0.2","2.6","0.0","0.0","0.4"
"Jack Stoll","CLE","0.2","1.8","0.0","0.0","0.3"
"Tyler Conklin","DET","0.2","1.7","0.0","0.0","0.3"
"Blake Whiteheart","CLE","0.2","1.5","0.0","0.0","0.3"
"Devin Culp","TB","0.1","1.2","0.0","0.0","0.2"
"Ben Yurosek","MIN","0.2","1.1","0.0","0.0","0.2"
"Chris Manhertz","NYG","0.1","1.2","0.0","0.0","0.2"
"Stone Smartt","PHI","0.1","1.2","0.0","0.0","0.2"
"Quintin Morris","JAC","0.1","1.0","0.0","0.0","0.2"
"Will Mallory","IND","0.1","1.3","0.0","0.0","0.2"
"Ko Kieft","TB","0.1","0.8","0.0","0.0","0.2"
"Lucas Krull","DEN","0.1","0.9","0.0","0.0","0.2"
"Kylen Granson","TEN","0.1","1.1","0.0","0.0","0.2"
"Jack Velling","ATL","0.0","0.7","0.0","0.0","0.1"
"Dallen Bentley","DEN","0.1","0.7","0.0","0.0","0.1"
"Shane Zylstra","BUF","0.0","0.6","0.0","0.0","0.1"
"Brevin Jordan","HOU","0.1","0.6","0.0","0.0","0.1"
"Hunter Long","JAC","0.1","0.5","0.0","0.0","0.1"
"Max Bredeson","MIN","0.1","0.4","0.0","0.0","0.1"
"Cameron Latu","PHI","0.0","0.4","0.0","0.0","0.1"
"Jelani Woods","NYJ","0.1","0.3","0.0","0.0","0.1"
"Feleipe Franks","CAR","0.0","0.1","0.0","0.0","0.0"
"Robert Tonyan","PIT","0.0","0.2","0.0","0.0","0.0"
"Cole Turner","MIA","0.0","0.0","0.0","0.0","0.0"
"Julian Hill","NE","0.0","0.0","0.0","0.0","0.0"
""
""
