"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Puka Nacua","LAR","7.2","93.6","0.5","0.7","4.4","0.0","0.0","16.7"
"Ja'Marr Chase","CIN","6.9","88.0","0.7","0.2","1.1","0.0","0.0","16.3"
"Amon-Ra St. Brown","DET","6.9","84.6","0.6","0.2","1.0","0.0","0.0","15.7"
"Jaxon Smith-Njigba","SEA","6.7","91.6","0.5","0.4","1.8","0.0","0.0","15.7"
"CeeDee Lamb","DAL","6.0","80.5","0.5","0.2","0.9","0.0","0.0","14.1"
"Justin Jefferson","MIN","6.2","81.6","0.4","0.1","0.6","0.0","0.0","13.7"
"Nico Collins","HOU","5.3","78.0","0.5","0.1","0.9","0.0","0.0","13.4"
"Drake London","ATL","5.6","74.2","0.4","0.0","0.1","0.0","0.0","12.8"
"Zay Flowers","BAL","5.3","74.0","0.4","0.4","2.3","0.0","0.0","12.5"
"George Pickens","DAL","4.8","73.2","0.5","0.0","0.2","0.0","0.0","12.5"
"Chris Olave","NO","5.6","71.7","0.4","0.0","0.1","0.0","0.0","12.3"
"A.J. Brown","NE","5.1","71.0","0.4","0.0","0.1","0.0","0.0","12.1"
"DeVonta Smith","PHI","5.2","68.8","0.4","0.0","0.1","0.0","0.0","12.0"
"Tee Higgins","CIN","4.4","63.1","0.6","0.0","0.2","0.0","0.0","11.9"
"Tetairoa McMillan","CAR","4.7","70.1","0.4","0.0","0.2","0.0","0.0","11.7"
"Rashee Rice","KC","5.3","60.9","0.4","0.4","2.3","0.0","0.0","11.6"
"Malik Nabers","NYG","4.9","62.3","0.5","0.2","0.8","0.0","0.0","11.5"
"Jaylen Waddle","DEN","4.8","64.0","0.4","0.1","0.9","0.0","0.0","11.1"
"Ladd McConkey","LAC","4.6","61.4","0.4","0.1","0.3","0.0","0.0","11.0"
"Garrett Wilson","NYJ","5.1","62.6","0.4","0.1","0.6","0.0","0.0","11.0"
"Davante Adams","LAR","3.9","55.3","0.5","0.0","0.0","0.0","0.0","10.7"
"Jameson Williams","DET","3.8","61.2","0.4","0.5","2.6","0.0","0.0","10.5"
"Emeka Egbuka","TB","3.8","59.5","0.4","0.2","0.8","0.0","0.0","10.5"
"Christian Watson","GB","3.6","58.9","0.4","0.1","0.6","0.0","0.0","10.3"
"Terry McLaurin","WAS","4.4","60.2","0.4","0.0","0.1","0.0","0.0","10.3"
"Luther Burden III","CHI","4.3","57.2","0.3","0.5","2.7","0.0","0.0","10.0"
"Mike Evans","SF","3.8","56.3","0.4","0.0","0.0","0.0","0.0","10.0"
"DK Metcalf","PIT","3.6","55.3","0.4","0.1","0.3","0.0","0.0","9.9"
"Rome Odunze","CHI","3.5","54.2","0.4","0.0","0.1","0.0","0.0","9.8"
"DJ Moore","BUF","3.9","52.7","0.4","0.4","2.0","0.0","0.0","9.7"
"Carnell Tate","TEN","4.0","56.4","0.3","0.0","0.2","0.0","0.0","9.5"
"Jayden Reed","GB","4.0","47.7","0.3","0.7","4.8","0.0","0.0","9.2"
"Josh Downs","IND","4.5","48.7","0.3","0.2","0.6","0.0","0.0","9.0"
"Parker Washington","JAC","3.6","50.9","0.3","0.5","1.9","0.0","0.0","9.0"
"Michael Pittman Jr.","PIT","4.5","49.2","0.3","0.0","0.1","0.0","0.0","8.9"
"Quentin Johnston","LAC","3.2","47.5","0.4","0.2","0.8","0.0","0.0","8.9"
"Courtland Sutton","DEN","3.7","49.7","0.3","0.0","0.0","0.0","0.0","8.8"
"Alec Pierce","IND","3.1","53.0","0.3","0.0","0.1","0.0","0.0","8.8"
"Marvin Harrison Jr.","ARI","3.5","51.9","0.3","0.0","0.0","0.0","0.0","8.7"
"Jordan Addison","MIN","3.4","46.2","0.3","0.2","1.6","0.0","0.0","8.5"
"Michael Wilson","ARI","3.8","49.8","0.3","0.0","0.1","0.0","0.0","8.5"
"Jalen Coker","CAR","3.9","48.7","0.3","0.0","0.2","0.0","0.0","8.5"
"Brian Thomas Jr.","JAC","3.2","48.2","0.3","0.2","1.2","0.0","0.0","8.4"
"Chris Godwin Jr.","TB","3.9","46.1","0.3","0.0","0.2","0.0","0.0","8.3"
"Matthew Golden","GB","3.5","45.5","0.2","0.6","2.5","0.0","0.0","8.0"
"Stefon Diggs","WAS","4.1","44.7","0.3","0.1","0.2","0.0","0.0","8.0"
"Wan'Dale Robinson","TEN","4.2","46.1","0.2","0.2","1.1","0.0","0.0","8.0"
"Jakobi Meyers","JAC","3.6","42.8","0.3","0.3","1.5","0.0","0.0","7.9"
